Title,Year,Engine,Fuel,Transmission,Drive,Mileage,Price,Location
BMW X3,2013,2.0 л (245 л.с.),бензин,АКПП,4WD,186 000 км,1 630 000,Томск
BMW X3,2013,2.0 л (184 л.с.),бензин,АКПП,4WD,123 000 км,1 900 000,Рыбинск
BMW 5-Series,2019,3.0 л (249 л.с.),дизель,АКПП,4WD,150 000 км,4 690 000,Симферополь
BMW X5,2009,3.0 л (272 л.с.),бензин,АКПП,4WD,286 000 км,1 230 000,Вологда
BMW X5,2005,4.4 л (320 л.с.),бензин,АКПП,4WD,242 000 км,1 500 000,Сургут
BMW X3,2015,2.0 л (184 л.с.),бензин,АКПП,4WD,121 041 км,2 630 000,Набережные Челны
BMW 7-Series,1997,2.8 л (193 л.с.),бензин,АКПП,задний,197 000 км,785 000,Краснодар
BMW 4-Series,2014,2.0 л (184 л.с.),бензин,АКПП,задний,227 966 км,1 979 000,Сургут
BMW 1-Series,2013,1.6 л (136 л.с.),бензин,АКПП,задний,210 798 км,959 000,Сургут
BMW 5-Series,2013,2.0 л (184 л.с.),бензин,АКПП,задний,211 000 км,1 550 000,Москва
BMW 5-Series,2007,2.5 л (218 л.с.),бензин,АКПП,задний,354 937 км,990 000,Кореновск
BMW X1,2018,1.5 л (140 л.с.),бензин,робот,передний,64 557 км,2 000 000,Хабаровск
BMW X5,2026,3.0 л (381 л.с.),бензин,АКПП,4WD,N/A,18 375 000,Москва
BMW 3-Series,2013,2.0 л (184 л.с.),дизель,АКПП,4WD,81 000 км,2 380 000,Новосибирск
BMW 8-Series,2019,3.0 л (320 л.с.),дизель,АКПП,4WD,147 766 км,6 290 000,Санкт-Петербург
BMW 5-Series,1998,2.0 л (150 л.с.),бензин,АКПП,задний,435 000 км,600 000,Воронеж
BMW X4,2018,2.0 л (252 л.с.),бензин,АКПП,4WD,107 000 км,4 199 999,Донецк
BMW X5,2014,3.0 л (306 л.с.),бензин,АКПП,4WD,330 000 км,3 000 000,Москва
BMW 3-Series,2012,2.0 л (245 л.с.),бензин,АКПП,задний,223 562 км,1 630 000,Новосибирск
BMW 3-Series,2011,2.0 л (136 л.с.),бензин,АКПП,задний,346 334 км,790 000,Новосибирск
BMW X1,2014,2.0 л (184 л.с.),дизель,АКПП,4WD,292 454 км,1 195 000,Москва
BMW X3,2012,3.0 л (249 л.с.),бензин,автомат,4WD,90 000 км,3 250 000,Самара
BMW X3,2013,3.0 л (258 л.с.),дизель,АКПП,4WD,201 000 км,2 050 000,Томск
BMW 7-Series,2016,2.0 л (258 л.с.),гибрид,АКПП,задний,49 000 км,3 350 000,Хабаровск
BMW X5,2021,3.0 л (340 л.с.),бензин,АКПП,4WD,50 469 км,8 850 000,Иркутск
BMW 3-Series,1995,1.8 л (115 л.с.),бензин,механика,задний,101 000 км,150 000,Красноярск
BMW X5,2019,3.0 л (249 л.с.),дизель,АКПП,4WD,66 000 км,7 100 000,Москва
BMW 5-Series,2012,2.0 л (218 л.с.),бензин,АКПП,задний,267 400 км,1 500 000,Кемерово
