Title,Year,Engine,Fuel,Transmission,Drive,Mileage,Price,Location
bmw 5-series,2004,3.0,petrol,automatic,rear,222999.0,1000099,прокопьевск
bmw x6,2019,3.0,diesel,automatic,awd,175019.0,4470000,москва
bmw x5,2002,4.4,petrol,automatic,awd,180000.0,500000,улан-удэ
bmw 7-series,2012,3.0,diesel,automatic,awd,,1599000,москва
bmw 5-series,2012,2.0,petrol,automatic,rear,173200.0,2000000,томск
bmw x4,2019,2.0,petrol,automatic,awd,55000.0,4550000,владивосток
bmw x5,2010,3.0,petrol,automatic,awd,191045.0,1899000,сургут
bmw 3-series,2012,2.0,petrol,automatic,rear,229000.0,1699000,михайловск
bmw 7-series,2010,4.4,petrol,automatic,awd,235000.0,2000000,москва
bmw 3-series,2011,2.0,petrol,automatic,rear,270000.0,1900000,москва
bmw 1-series,2013,1.6,petrol,automatic,rear,111111.0,1250000,ангарск
bmw x5,2014,3.0,petrol,automatic,awd,220050.0,2495000,санкт-петербург
bmw 5-series,1999,2.0,petrol,manual,rear,360000.0,650000,мариинск
bmw 5-series,2017,2.0,diesel,automatic,rear,212000.0,2350000,санкт-петербург
bmw 2-series active tourer,2015,1.5,petrol,automatic,front,81273.0,1245000,иркутск
bmw x1,2012,2.0,diesel,automatic,awd,224500.0,1299000,уфа
bmw x3,2013,3.0,diesel,automatic,awd,200000.0,2150000,москва
bmw 5-series,2021,2.0,petrol,automatic,rear,78800.0,4300000,москва
bmw x4,2018,2.0,petrol,automatic,awd,212200.0,3420000,курган
bmw 5-series,1998,2.8,petrol,automatic,rear,280000.0,320000,беслан
bmw 5-series,2012,2.0,diesel,automatic,awd,164000.0,1930000,челябинск
bmw 7-series,2002,4.4,petrol,automatic,rear,299000.0,550000,ульяновск
bmw 3-series,2016,2.0,petrol,automatic,rear,195000.0,1790000,москва
